grid_id,price_2014,price_2020
E1234N4916,157.0,267.0
E1235N4916,154.0,262.0
E1236N4916,152.0,258.0
E1209N4915,176.0,319.0
E1210N4915,193.0,326.0
E1211N4915,177.0,316.0
E1212N4915,177.0,284.0
E1214N4915,284.0,524.0
E1215N4915,194.0,318.0
E1216N4915,185.0,329.0
E1217N4915,159.0,281.0
E1219N4915,237.0,444.0
E1220N4915,271.0,511.0
E1223N4915,430.0,738.0
E1228N4915,159.0,280.0
E1229N4915,157.0,287.0
E1231N4915,152.0,259.0
E1232N4915,152.0,260.0
E1234N4915,147.0,274.0
E1235N4915,156.0,269.0
E1236N4915,154.0,261.0
E1237N4915,153.0,259.0
E1210N4914,210.0,351.0
E1211N4914,181.0,332.0
E1212N4914,176.0,332.0
E1213N4914,278.0,527.0
E1214N4914,226.0,389.0
E1215N4914,154.0,270.0
E1216N4914,149.0,262.0
E1217N4914,154.0,274.0
E1219N4914,272.0,492.0
E1220N4914,271.0,493.0
E1227N4914,211.0,327.0
E1228N4914,160.0,282.0
E1230N4914,150.0,269.0
E1231N4914,149.0,270.0
E1233N4914,149.0,279.0
E1234N4914,153.0,273.0
E1235N4914,145.0,258.0
E1236N4914,154.0,263.0
E1261N4914,752.0,1157.0
E1212N4913,156.0,283.0
E1213N4913,137.0,226.0
E1214N4913,163.0,280.0
E1215N4913,122.0,206.0
E1216N4913,123.0,213.0
E1217N4913,127.0,241.0
E1219N4913,286.0,522.0
E1220N4913,261.0,484.0
E1227N4913,209.0,378.0
E1228N4913,172.0,297.0
E1229N4913,184.0,313.0
E1230N4913,168.0,303.0
E1231N4913,153.0,273.0
E1232N4913,152.0,283.0
E1233N4913,151.0,273.0
E1234N4913,153.0,280.0
E1235N4913,249.0,453.0
E1236N4913,275.0,470.0
E1238N4913,283.0,512.0
E1239N4913,267.0,475.0
E1212N4912,139.0,259.0
E1213N4912,143.0,245.0
E1214N4912,177.0,292.0
E1216N4912,194.0,336.0
E1217N4912,175.0,302.0
E1219N4912,276.0,486.0
E1220N4912,284.0,498.0
E1226N4912,244.0,419.0
E1227N4912,191.0,365.0
E1228N4912,118.0,208.0
E1229N4912,197.0,340.0
E1230N4912,155.0,276.0
E1232N4912,153.0,283.0
E1233N4912,160.0,291.0
E1234N4912,246.0,464.0
E1235N4912,247.0,465.0
E1237N4912,335.0,574.0
E1238N4912,277.0,462.0
E1239N4912,259.0,439.0
